ID,Контакт: ID,Дата создания,month,Воронка,funnel_group,Стадия сделки,Сделка закрыта,Дата оплаты,Сумма,revenue_amount,is_revenue_variant3,UTM Source,UTM Medium,UTM Campaign,UTM Content,Название сделки,Код_курса_сайт,Код курса,course_code_norm,event_class,classification_source,classification_pattern,classification_confidence,is_attacking_january,old_ad_id,aid_token,parsed_ad_id,old_project_name,parsed_project_name
126765,117535,08.11.2025 08:03:20,2025-11,B2C,B2C,Сделка не заключена,да,,0.00000000,0,0,yandex,cpc,brand,,F-401,R-101,,R-101,Другое,,,low,0,,,,,
126777,117555,08.11.2025 17:16:24,2025-11,B2C,B2C,Сделка заключена,да,08.11.2025,24467.00000000,24467,1,yandex,cpc,brand,,Кожемякина Анастасия Александровна_R-301A_10.11.25,R301-A,,R-301-A,Другое,,,low,0,,,,,
126779,117555,08.11.2025 17:16:25,2025-11,Холодная воронка,Холодная воронка,Некачественный лид,да,,0.00000000,0,0,yandex,cpc,brand,,Заявка + попытка оплаты сайт Cyber-Ed.ru,R301-A,,R-301-A,Другое,,,low,0,,,,,
126867,117613,10.11.2025 08:17:26,2025-11,Реактивация,Реактивация,В2С отказ,нет,,0.00000000,0,0,yandex,cpc,brand,,ПБХ,R-101,,R-101,Другое,,,low,0,,,,,
126895,117639,10.11.2025 12:12:57,2025-11,Реактивация,Реактивация,Некачественный лид,да,,0.00000000,0,0,yandex,cpc,brand,,Blue Team Stepik,B-101,,B-101,Blue Team Stepik,Название сделки,\bblue team stepik\b,high,0,,,,,
127069,117759,11.11.2025 21:51:06,2025-11,Реактивация,Реактивация,В2С отказ,нет,,0.00000000,0,0,yandex,cpc,brand,,ПБХ,R-101,,R-101,Другое,,,low,0,,,,,
127221,117869,13.11.2025 11:02:42,2025-11,Реактивация,Реактивация,В2С отказ,нет,,0.00000000,0,0,yandex,cpc,brand,,ПБХ,R-101,,R-101,Другое,,,low,0,,,,,
127291,117903,14.11.2025 02:52:09,2025-11,Реактивация,Реактивация,В2С отказ,нет,,0.00000000,0,0,yandex,cpc,brand,,ПБХ,R-101,,R-101,Другое,,,low,0,,,,,
127377,117951,15.11.2025 17:25:45,2025-11,B2C,B2C,Сделка не заключена,да,,0.00000000,0,0,yandex,cpc,brand,,Blue Team Stepik,B-101,,B-101,Blue Team Stepik,Название сделки,\bblue team stepik\b,high,0,,,,,
127467,118015,17.11.2025 02:15:34,2025-11,Реактивация,Реактивация,В2С отказ,нет,,0.00000000,0,0,yandex,cpc,brand,,ПБХ,R-101,,R-101,Другое,,,low,0,,,,,
127687,118191,18.11.2025 23:23:27,2025-11,Реактивация,Реактивация,"В проработке, нет ответа",нет,,0.00000000,0,0,yandex,cpc,brand,,ПБХ,R-101,,R-101,Другое,,,low,0,,,,,
127729,118235,19.11.2025 09:21:23,2025-11,Реактивация,Реактивация,В2С отказ,нет,,0.00000000,0,0,yandex,cpc,brand,,ПБХ,R-101,,R-101,Другое,,,low,0,,,,,
127731,118235,19.11.2025 09:22:08,2025-11,Реактивация,Реактивация,В2С отказ,нет,,0.00000000,0,0,yandex,cpc,brand,,ПБХ,R-101,,R-101,Другое,,,low,0,,,,,
127823,118289,20.11.2025 09:56:18,2025-11,Реактивация,Реактивация,В2С отказ,нет,,0.00000000,0,0,yandex,cpc,brand,,Blue Team Stepik,B-101,,B-101,Blue Team Stepik,Название сделки,\bblue team stepik\b,high,0,,,,,
127829,118293,20.11.2025 11:44:49,2025-11,Реактивация,Реактивация,Некачественный лид,да,,0.00000000,0,0,ya,cpc,brand,,ПБХ,R-101,,R-101,Другое,,,low,0,,,,,
127833,118293,20.11.2025 11:58:34,2025-11,Реактивация,Реактивация,В2С отказ,нет,,0.00000000,0,0,ya,cpc,brand,,Blue Team Stepik,B-101,,B-101,Blue Team Stepik,Название сделки,\bblue team stepik\b,high,0,,,,,
127915,118355,21.11.2025 00:51:06,2025-11,Реактивация,Реактивация,Некачественный лид,да,,0.00000000,0,0,yandex,vea_poisk,%7Bcampaign_id%7D,%7Bad_id%7D,ПБХ,R-101,,R-101,Другое,,,low,0,%7Bad_id%7D,,,,
127919,118359,21.11.2025 00:59:45,2025-11,Реактивация,Реактивация,Некачественный лид,да,,0.00000000,0,0,yandex,vea_poisk,%7Bcampaign_id%7D,%7Bad_id%7D,ПБХ,R-101,,R-101,Другое,,,low,0,%7Bad_id%7D,,,,
128017,118427,22.11.2025 14:04:32,2025-11,Реактивация,Реактивация,В2С отказ,нет,,0.00000000,0,0,yandex,cpc,brand,,ПБХ,R-101,,R-101,Другое,,,low,0,,,,,
128113,116391,24.11.2025 14:37:02,2025-11,Реактивация,Реактивация,Некачественный лид,да,,0.00000000,0,0,yandex,%7Bsource_type%7D,%7Bcampaign_id%7D_%7Bgbid%7D,%7Bad_id%7D,ПБХ,R-101,,R-101,Другое,,,low,0,%7Bad_id%7D,,,,
128135,117081,24.11.2025 16:34:05,2025-11,Реактивация,Реактивация,Некачественный лид,да,,0.00000000,0,0,yandex,context,705047736_5679156266,%7Bad_id%7D,ПБХ,R-101,,R-101,Другое,,,low,0,%7Bad_id%7D,,,,
128171,118355,24.11.2025 19:11:02,2025-11,Реактивация,Реактивация,Некачественный лид,да,,0.00000000,0,0,yandex,%7Bsource_type%7D,%7Bcampaign_id%7D_%7Bgbid%7D,%7Bad_id%7D,Blue Team Stepik,B-101,,B-101,Blue Team Stepik,Название сделки,\bblue team stepik\b,high,0,%7Bad_id%7D,,,,
128259,115903,25.11.2025 12:51:09,2025-11,Холодная воронка,Холодная воронка,Некачественный лид,да,,0.00000000,0,0,yandex,{source_type},{campaign_id}_{gbid},{ad_id},Заявка с формы: pentester-new-3-anime — TEST,,,,Другое,,,low,0,{ad_id},,,,
128371,118355,26.11.2025 11:56:21,2025-11,Реактивация,Реактивация,Некачественный лид,да,,0.00000000,0,0,yandex,%7Bsource_type%7D,%7Bcampaign_id%7D_%7Bgbid%7D,%7Bad_id%7D,Blue Team Stepik,B-101,,B-101,Blue Team Stepik,Название сделки,\bblue team stepik\b,high,0,%7Bad_id%7D,,,,
128657,118293,29.11.2025 00:47:07,2025-11,Реактивация,Реактивация,Некачественный лид,да,,0.00000000,0,0,ya,cpc,brand,,Blue Team Stepik,B-101,,B-101,Blue Team Stepik,Название сделки,\bblue team stepik\b,high,0,,,,,
134717,115903,14.01.2026 14:43:16,2026-01,Холодная воронка,Холодная воронка,Некачественный лид,да,,0.00,0,0,yd,{source_type},{campaign_id},{ad_id},Заявка с формы: pentester-new-3-anime — TEST,,,,Другое,,,low,0,{ad_id},,,,
136563,124321,26.01.2026 14:40:48,2026-01,Холодная воронка,Холодная воронка,Некачественный лид,да,,0.00,0,0,yd,{source_type},{campaign_id},{ad_id},Заявка с формы: prof-soc-demo — TEST,B301-M0A,,B-301-M0A,Демо Блю,Название сделки,\bprof soc demo\b,high,0,{ad_id},,,,
139557,126703,17.02.2026 23:21:32,2026-02,B2C,B2C,Потенциал 01,нет,,0.00,0,0,yd_prof_soc_demo2,context,|707144217,cid|707144217|gid|5714872295|aid|72057611634813893|adp|no|dvc|desktop|pid||rid||did||pos|none0|adn|context|crid||,SOC Демо,B301-M0A,,B-301-M0A,Другое,,,low,0,cid|707144217|gid|5714872295|aid|72057611634813893|adp|no|dvc|desktop|pid||rid||did||pos|none0|adn|context|crid||,72057611634813893,,,
142509,117081,11.03.2026 11:55:59,2026-03,Холодная воронка,Холодная воронка,Некачественный лид,да,,0.00,0,0,yd,%7Bsource_type%7D,%7Bcampaign_id%7D,%7Bad_id%7D,ПБХ,R-101,,R-101,Другое,,,low,0,%7Bad_id%7D,,,,
146723,132897,27.03.2026 11:51:49,2026-03,Реактивация,Реактивация,Вебинары,нет,,0.00,0,0,YouTube_propentest,social,career_stream_28_03,,Вебинар Зайцев 28.03,,,,Другое,,,low,0,,,,,
146729,132903,27.03.2026 12:21:27,2026-03,Реактивация,Реактивация,Вебинары,нет,,0.00,0,0,YouTube_propentest,social,career_stream_28_03,,Вебинар Зайцев 28.03,,,,Другое,,,low,0,,,,,
146733,132907,27.03.2026 12:23:41,2026-03,Реактивация,Реактивация,Вебинары,нет,,0.00,0,0,YouTube_propentest,social,career_stream_28_03,,Вебинар Зайцев 28.03,,,,Другое,,,low,0,,,,,
146735,132909,27.03.2026 12:24:31,2026-03,Реактивация,Реактивация,Вебинары,нет,,0.00,0,0,YouTube_propentest,social,career_stream_28_03,,Вебинар Зайцев 28.03,,,,Другое,,,low,0,,,,,
146737,132911,27.03.2026 12:24:36,2026-03,Реактивация,Реактивация,Вебинары,нет,,0.00,0,0,YouTube_propentest,social,career_stream_28_03,,Вебинар Зайцев 28.03,,,,Другое,,,low,0,,,,,
146741,132913,27.03.2026 12:29:21,2026-03,Реактивация,Реактивация,Вебинары,нет,,0.00,0,0,YouTube_propentest,social,career_stream_28_03,,Вебинар Зайцев 28.03,,,,Другое,,,low,0,,,,,
146743,132915,27.03.2026 12:31:02,2026-03,Реактивация,Реактивация,Вебинары,нет,,0.00,0,0,YouTube_propentest,social,career_stream_28_03,,Вебинар Зайцев 28.03,,,,Другое,,,low,0,,,,,
146745,132917,27.03.2026 12:35:20,2026-03,Реактивация,Реактивация,Вебинары,нет,,0.00,0,0,YouTube_propentest,social,career_stream_28_03,,Вебинар Зайцев 28.03,,,,Другое,,,low,0,,,,,
146747,132919,27.03.2026 12:35:34,2026-03,Реактивация,Реактивация,Вебинары,нет,,0.00,0,0,YouTube_propentest,social,career_stream_28_03,,Вебинар Зайцев 28.03,,,,Другое,,,low,0,,,,,
146749,132921,27.03.2026 12:39:56,2026-03,Реактивация,Реактивация,Вебинары,нет,,0.00,0,0,YouTube_propentest,social,career_stream_28_03,,Вебинар Зайцев 28.03,,,,Другое,,,low,0,,,,,
146751,132923,27.03.2026 12:42:27,2026-03,Реактивация,Реактивация,Вебинары,нет,,0.00,0,0,YouTube_propentest,social,career_stream_28_03,,Вебинар Зайцев 28.03,,,,Другое,,,low,0,,,,,
146757,132929,27.03.2026 12:44:17,2026-03,Реактивация,Реактивация,Вебинары,нет,,0.00,0,0,YouTube_propentest,social,career_stream_28_03,,Вебинар Зайцев 28.03,,,,Другое,,,low,0,,,,,
146759,132931,27.03.2026 12:45:36,2026-03,Реактивация,Реактивация,Вебинары,нет,,0.00,0,0,YouTube_propentest,social,career_stream_28_03,,Вебинар Зайцев 28.03,,,,Другое,,,low,0,,,,,
146763,132935,27.03.2026 12:46:59,2026-03,Реактивация,Реактивация,Вебинары,нет,,0.00,0,0,YouTube_propentest,social,career_stream_28_03,,Вебинар Зайцев 28.03,,,,Другое,,,low,0,,,,,
146773,132945,27.03.2026 13:01:52,2026-03,Реактивация,Реактивация,Вебинары,нет,,0.00,0,0,YouTube_propentest,social,career_stream_28_03,,Вебинар Зайцев 28.03,,,,Другое,,,low,0,,,,,
146775,132947,27.03.2026 13:03:48,2026-03,Реактивация,Реактивация,Вебинары,нет,,0.00,0,0,YouTube_propentest,social,career_stream_28_03,,Вебинар Зайцев 28.03,,,,Другое,,,low,0,,,,,
146795,132967,27.03.2026 13:33:06,2026-03,Реактивация,Реактивация,Вебинары,нет,,0.00,0,0,YouTube_propentest,social,career_stream_28_03,,Вебинар Зайцев 28.03,,,,Другое,,,low,0,,,,,
146835,133007,27.03.2026 14:57:39,2026-03,Реактивация,Реактивация,Вебинары,нет,,0.00,0,0,YouTube_propentest,social,career_stream_28_03,,Вебинар Зайцев 28.03,,,,Другое,,,low,0,,,,,
146873,133041,27.03.2026 16:47:25,2026-03,Реактивация,Реактивация,Вебинары,нет,,0.00,0,0,YouTube_propentest,social,career_stream_28_03,,Вебинар Зайцев 28.03,,,,Другое,,,low,0,,,,,
146883,133049,27.03.2026 17:25:27,2026-03,Реактивация,Реактивация,Вебинары,нет,,0.00,0,0,YouTube_propentest,social,career_stream_28_03,,Вебинар Зайцев 28.03,,,,Другое,,,low,0,,,,,
146887,133053,27.03.2026 17:39:00,2026-03,Реактивация,Реактивация,Вебинары,нет,,0.00,0,0,YouTube_propentest,social,career_stream_28_03,,Вебинар Зайцев 28.03,,,,Другое,,,low,0,,,,,
146893,133059,27.03.2026 18:49:55,2026-03,Реактивация,Реактивация,Вебинары,нет,,0.00,0,0,YouTube_propentest,social,career_stream_28_03,,Вебинар Зайцев 28.03,,,,Другое,,,low,0,,,,,
