ID,Контакт: ID,Дата создания,month,Воронка,funnel_group,Стадия сделки,Сделка закрыта,Дата оплаты,Сумма,revenue_amount,is_revenue_variant3,UTM Source,UTM Medium,UTM Campaign,UTM Content,Название сделки,Код_курса_сайт,Код курса,course_code_norm,event_class,classification_source,classification_pattern,classification_confidence,is_attacking_january
93309,88231,15.05.2025 19:16:38,2025-05,Реактивация,Реактивация,В2С отказ,нет,,,0,0,yandex_cpc,r301,CyberED_PENTEST__set,%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3.mobile.none.16975561359,Заявка с сайта cyber-ed B2C,Код курса: R-301,,R-301,Другое,,,low,0
93323,88245,15.05.2025 20:49:07,2025-05,B2C,B2C,Сделка не заключена,да,,,0,0,yandex_cpc,r301,CyberED_PENTEST__set,Москва.desktop.none.16975561359,Заявка с сайта cyber-ed B2C,Код курса: R-301,,R-301,Другое,,,low,0
93335,88257,15.05.2025 22:51:41,2025-05,B2C,B2C,Сделка не заключена,да,,,0,0,yandex_cpc,r301,CyberED_PENTEST__set,%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3.mobile.none.16975561359,Заявка с сайта cyber-ed B2C,Код курса: R-301,,R-301,Другое,,,low,0
93451,88321,16.05.2025 22:26:19,2025-05,B2C,B2C,Сделка не заключена,да,,,0,0,yandex_cpc,r301,CyberED_PENTEST__set,Санкт-Петербург.mobile.none.16975561359,Заявка с сайта cyber-ed B2C,Код курса: R-301,,R-301,Другое,,,low,0
93465,88335,16.05.2025 23:59:06,2025-05,B2C,B2C,Сделка не заключена,да,,,0,0,yandex_cpc,b301,CyberED_SOC_set,Санкт-Петербург.mobile.none.16975561380,Заявка с сайта cyber-ed B2C,Код курса: B-301,,B-301,Другое,,,low,0
93481,88347,17.05.2025 09:08:20,2025-05,B2C,B2C,Сделка не заключена,да,,,0,0,yandex,cpc,s-410,undefined,Заявка с сайта cyber-ed B2C,Код курса: S-410,,S-410,Другое,,,low,0
93507,87711,18.05.2025 00:20:43,2025-05,B2C,B2C,Сделка не заключена,да,,,0,0,yandex_cpc,r301,CyberED_PENTEST__set,%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3.mobile.none.16975561347,Заявка с сайта cyber-ed B2C,Код курса: R-301,,R-301,Другое,,,low,0
93515,88379,18.05.2025 11:04:25,2025-05,B2C,B2C,Сделка не заключена,да,,,0,0,yandex_cpc,r301,CyberED_PENTEST__set,%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3.mobile.none.16975561359,Заявка с сайта cyber-ed B2C,Код курса: R-301,,R-301,Другое,,,low,0
93529,88393,18.05.2025 15:19:44,2025-05,B2C,B2C,Сделка не заключена,да,,,0,0,yandex_cpc,b301,CyberED_SOC_set,Санкт-Петербург.mobile.none.16975561366,Заявка с сайта cyber-ed B2C,Код курса: B-301,,B-301,Другое,,,low,0
93537,88399,18.05.2025 17:16:36,2025-05,B2C,B2C,Сделка не заключена,да,,,0,0,yandex_cpc,b301,CyberED_SOC_set,%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3.mobile.none.16975561380,Заявка с сайта cyber-ed B2C,Код курса: B-301,,B-301,Другое,,,low,0
93545,88407,18.05.2025 18:07:57,2025-05,B2C,B2C,Сделка не заключена,да,,,0,0,yandex_cpc,r301,CyberED_PENTEST__set,Москва.mobile.none.16996792083,Заявка с сайта cyber-ed B2C,Код курса: R-301,,R-301,Другое,,,low,0
93553,88415,18.05.2025 20:23:04,2025-05,B2C,B2C,Сделка не заключена,да,,,0,0,yandex_cpc,r301,CyberED_PENTEST__set,Санкт-Петербург.mobile.none.16975561347,Заявка с сайта cyber-ed B2C,Код курса: R-301,,R-301,Другое,,,low,0
93561,88423,18.05.2025 22:35:13,2025-05,B2C,B2C,Сделка не заключена,да,,,0,0,yandex_cpc,b301,CyberED_SOC_set,%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0.mobile.none.16975561366,Заявка с сайта cyber-ed B2C,Код курса: B-301,,B-301,Другое,,,low,0
93655,88433,19.05.2025 00:45:46,2025-05,B2C,B2C,Сделка не заключена,да,,,0,0,yandex_cpc,r301,CyberED_PENTEST__set,%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3.mobile.none.16996792083,Заявка с сайта cyber-ed B2C,Код курса: R-301,,R-301,Другое,,,low,0
95217,46227,31.05.2025 18:41:29,2025-05,Реактивация,Реактивация,В2С отказ,нет,,,0,0,yandex,cpc,br3d,Москва.desktop.none.16975561350,Заявка с сайта cyber-ed B2C,Код курса: R-301,,R-301,Другое,,,low,0
95289,89047,02.06.2025 18:00:17,2025-06,B2C,B2C,Сделка не заключена,да,,,0,0,yandex,cpc,br3d,undefined,Заявка с сайта cyber-ed B2C,Код курса: R-301,,R-301,Другое,,,low,0
119583,113149,04.09.2025 16:11:52,2025-09,Реактивация,Реактивация,Входящие лиды (нет ответа),да,,0.00000000,0,0,yandex,cpc,r301,,Демо курс,R301-M0A,,R-301-M0A,Другое,,,low,0
119655,112565,05.09.2025 11:50:02,2025-09,Реактивация,Реактивация,В2С отказ,да,,0.00000000,0,0,yandex,cpc,r301,,Демо курс,R301-M0A,,R-301-M0A,Другое,,,low,0
119933,113041,09.09.2025 05:10:29,2025-09,Реактивация,Реактивация,В2С отказ,нет,,0.00000000,0,0,yandex,cpc,r301,undefined,Заявка с сайта cyber-ed Главная страница,main_page,,MAIN_PAGE,Другое,,,low,0
120071,112931,10.09.2025 11:33:05,2025-09,Реактивация,Реактивация,Blue team Stepik,нет,,0.00000000,0,0,yandex,cpc,brand,undefined,Blue team Stepik,Код курса: B-101,,B-101,Blue Team Stepik,Название сделки,\bblue team stepik\b,high,0
120073,112933,10.09.2025 11:35:30,2025-09,B2C,B2C,Сделка не заключена,да,,0.00000000,0,0,yandex,cpc,b802,undefined,Blue team Stepik,Код курса: B-101,,B-101,Blue Team Stepik,Название сделки,\bblue team stepik\b,high,0
120209,113041,11.09.2025 04:17:46,2025-09,Реактивация,Реактивация,В2С отказ,да,,0.00000000,0,0,yandex,cpc,r301,,Демо курс,R301-M0A,,R-301-M0A,Другое,,,low,0
120657,113407,16.09.2025 23:42:16,2025-09,Реактивация,Реактивация,Blue team Stepik,нет,,0.00000000,0,0,yandex,cpc,brand,undefined,Blue team Stepik,Код курса: B-101,,B-101,Blue Team Stepik,Название сделки,\bblue team stepik\b,high,0
120797,113535,17.09.2025 22:05:14,2025-09,Холодная воронка,Холодная воронка,Некачественный лид,да,,0.00000000,0,0,yandex,cpc,r301,,Демо курс,R301-M0A,,R-301-M0A,Другое,,,low,0
120963,113661,20.09.2025 00:06:26,2025-09,Холодная воронка,Холодная воронка,Некачественный лид,да,,0.00000000,0,0,yandex,cpc,r301,undefined,Заявка с сайта cyber-ed B2C,Код курса: R-301,,R-301,Другое,,,low,0
121019,113713,21.09.2025 20:28:27,2025-09,Реактивация,Реактивация,Входящие лиды (нет ответа),да,,0.00000000,0,0,yandex,cpc,r301,,Демо курс,R301-M0A,,R-301-M0A,Другое,,,low,0
121061,113753,21.09.2025 23:48:07,2025-09,Холодная воронка,Холодная воронка,Некачественный лид,да,,0.00000000,0,0,yandex,cpc,r301,,Демо курс,R301-M0A,,R-301-M0A,Другое,,,low,0
121173,113853,23.09.2025 12:39:24,2025-09,Холодная воронка,Холодная воронка,Некачественный лид,да,,0.00000000,0,0,ya,cpc,brand,,Демо курс,R301-M0A,,R-301-M0A,Другое,,,low,0
121417,114053,27.09.2025 07:27:28,2025-09,Реактивация,Реактивация,Blue team Stepik,нет,,0.00000000,0,0,yandex,cpc,brand,undefined,Blue team Stepik@,Код курса: B-101,,B-101,Blue Team Stepik,Название сделки,\bblue team stepik\b,high,0
121539,114151,30.09.2025 12:08:30,2025-09,Холодная воронка,Холодная воронка,Некачественный лид,да,,0.00000000,0,0,yandex,cpc,r301,,Демо курс,R301-M0A,,R-301-M0A,Другое,,,low,0
121545,114155,30.09.2025 12:58:22,2025-09,B2C,B2C,Сделка заключена,да,20.10.2025,54435.00000000,54435,1,yandex,cpc,brand,undefined,Орехов Даниил Олегович_F-401-А_21.10.2025,Код курса: F-108,,F-108,Другое,,,low,0
121585,114179,30.09.2025 20:34:39,2025-09,Холодная воронка,Холодная воронка,Некачественный лид,да,,0.00000000,0,0,yandex,cpc,r301,,Демо курс,R301-M0A,,R-301-M0A,Другое,,,low,0
121587,114179,30.09.2025 20:35:24,2025-09,Холодная воронка,Холодная воронка,Некачественный лид,да,,0.00000000,0,0,yandex,cpc,r301,undefined,Заявка + попытка оплаты сайт Cyber-Ed.ru,R301-A,,R-301-A,Другое,,,low,0
121679,114239,01.10.2025 21:38:11,2025-10,Реактивация,Реактивация,"В проработке, нет ответа",нет,,0.00000000,0,0,yandex,cpc,brand,undefined,Blue team Stepik,Код курса: B-101,,B-101,Blue Team Stepik,Название сделки,\bblue team stepik\b,high,0
122065,114593,04.10.2025 14:23:39,2025-10,Реактивация,Реактивация,Входящие лиды (нет ответа),да,,0.00000000,0,0,yandex,cpc,r301,,Демо курс,R301-M0A,,R-301-M0A,Другое,,,low,0
122323,114795,06.10.2025 15:57:49,2025-10,Реактивация,Реактивация,Некачественный лид,да,,0.00000000,0,0,yandex,cpc,brand,,ПХД,R-101,,R-101,Другое,,,low,0
122405,114849,07.10.2025 16:24:22,2025-10,Реактивация,Реактивация,В2С отказ,нет,,0.00000000,0,0,yandex,cpc,brand,undefined,Blue team Stepik,Код курса: B-101,,B-101,Blue Team Stepik,Название сделки,\bblue team stepik\b,high,0
122721,76865,09.10.2025 13:50:45,2025-10,Реактивация,Реактивация,Blue team Stepik,нет,,0.00000000,0,0,yandex,cpc,brand,undefined,Blue team Stepik@,Код курса: B-101,,B-101,Blue Team Stepik,Название сделки,\bblue team stepik\b,high,0
122883,115141,09.10.2025 18:09:26,2025-10,Холодная воронка,Холодная воронка,Некачественный лид,да,,0.00000000,0,0,yandex,cpc,r301,,Демо курс + Тренд Репорты,R301-M0A,,R-301-M0A,Другое,,,low,0
123015,113773,10.10.2025 10:49:35,2025-10,Холодная воронка,Холодная воронка,Некачественный лид,да,,0.00000000,0,0,yandex,tokhtarov,{campaign_id},{ad_id},Заявка с формы: vstrecha-s-nastavnikom-main — Test,,,,Другое,,,low,0
123081,120665,10.10.2025 15:54:13,2025-10,Реактивация,Реактивация,Некачественный лид,да,,0.00000000,0,0,yandex,cpc,r301,,ПХД,R-101,,R-101,Другое,,,low,0
123873,121033,15.10.2025 12:57:50,2025-10,Реактивация,Реактивация,В2С отказ,нет,,0.00000000,0,0,yandex,cpc,brand,,ПХД,R-101,,R-101,Другое,,,low,0
124069,113773,16.10.2025 12:23:48,2025-10,B2C,B2C,Сделка не заключена,да,,0.00000000,0,0,yandex,tokhtarov,{campaign_id},{ad_id},Заявка с формы: vstrecha-s-nastavnikom-main — test,,,,Другое,,,low,0
124259,116167,18.10.2025 13:01:30,2025-10,Реактивация,Реактивация,В2С отказ,нет,,0.00000000,0,0,yandex,cpc,brand,,ПХД,R-101,,R-101,Другое,,,low,0
124273,116179,18.10.2025 17:05:37,2025-10,Реактивация,Реактивация,"В проработке, нет ответа",нет,,0.00000000,0,0,yandex,cpc,brand,,ПХД,R-101,,R-101,Другое,,,low,0
124321,116167,19.10.2025 13:43:38,2025-10,Реактивация,Реактивация,Некачественный лид,да,,0.00000000,0,0,yandex,cpc,brand,undefined,Blue team Stepik,Код курса: B-101,,B-101,Blue Team Stepik,Название сделки,\bblue team stepik\b,high,0
124345,116241,20.10.2025 01:53:17,2025-10,Реактивация,Реактивация,Входящие лиды (нет ответа),нет,,0.00000000,0,0,yandex,cpc,r301,undefined,R-301,Код курса: R-301,,R-301,Другое,,,low,0
124615,116385,21.10.2025 13:01:19,2025-10,B2C,B2C,Сделка не заключена,да,,0.00000000,0,0,yandex,cpc,brand,,ПХД,R-101,,R-101,Другое,,,low,0
124661,116411,21.10.2025 15:31:03,2025-10,Реактивация,Реактивация,Входящие лиды (нет ответа),да,,0.00000000,0,0,yandex,cpc,r301,,Демо курс,R301-M0A,,R-301-M0A,Другое,,,low,0
124997,116545,23.10.2025 10:51:46,2025-10,Реактивация,Реактивация,В2С отказ,нет,,0.00000000,0,0,yandex,cpc,brand,,ПХД,R-101,,R-101,Другое,,,low,0
125001,80665,23.10.2025 11:13:01,2025-10,Реактивация,Реактивация,Некачественный лид,да,,0.00000000,0,0,yandex,cpc,brand,undefined,Blue team Stepik,Код курса: B-101,,B-101,Blue Team Stepik,Название сделки,\bblue team stepik\b,high,0
125099,116627,23.10.2025 23:48:49,2025-10,Холодная воронка,Холодная воронка,Некачественный лид,да,,0.00000000,0,0,yandex,cpc,r301,undefined,Заявка с сайта cyber-ed B2C,Код курса: R-301,,R-301,Другое,,,low,0
125129,116653,24.10.2025 11:44:59,2025-10,Холодная воронка,Холодная воронка,Некачественный лид,да,,0.00000000,0,0,yandex,cpc,r301,,Демо курс,R301-M0A,,R-301-M0A,Другое,,,low,0
125223,28179,25.10.2025 10:24:20,2025-10,Реактивация,Реактивация,Входящие лиды (нет ответа),да,,0.00000000,0,0,yandex,cpc,r301,,Демо курс,R301-M0A,,R-301-M0A,Другое,,,low,0
125289,116749,26.10.2025 17:50:54,2025-10,Холодная воронка,Холодная воронка,Некачественный лид,да,,0.00000000,0,0,yandex,cpc,r301,,Демо курс,R301-M0A,,R-301-M0A,Другое,,,low,0
125879,116979,29.10.2025 08:07:13,2025-10,Реактивация,Реактивация,Некачественный лид,да,,0.00000000,0,0,yandex,cpc,brand,,Blue Team Stepik,B-101,,B-101,Blue Team Stepik,Название сделки,\bblue team stepik\b,high,0
125881,116979,29.10.2025 08:10:57,2025-10,Реактивация,Реактивация,В2С отказ,нет,,0.00000000,0,0,yandex,cpc,brand,,Blue Team Stepik,B-101,,B-101,Blue Team Stepik,Название сделки,\bblue team stepik\b,high,0
126337,117253,01.11.2025 02:09:55,2025-11,Реактивация,Реактивация,Некачественный лид,да,,0.00000000,0,0,yandex,cpc,brand,,ПБХ,R-101,,R-101,Другое,,,low,0
126389,125941,01.11.2025 21:56:48,2025-11,Реактивация,Реактивация,Некачественный лид,да,,0.00000000,0,0,yandex,cpc,brand,,ПБХ,R-101,,R-101,Другое,,,low,0
126501,117359,04.11.2025 16:51:28,2025-11,Реактивация,Реактивация,В2С отказ,нет,,0.00000000,0,0,yandex,cpc,brand,,Blue Team Stepik,B-101,,B-101,Blue Team Stepik,Название сделки,\bblue team stepik\b,high,0
126615,26267,06.11.2025 12:19:08,2025-11,Реактивация,Реактивация,В2С отказ,нет,,0.00000000,0,0,yandex,cpc,brand,,Blue Team Stepik,B-101,,B-101,Blue Team Stepik,Название сделки,\bblue team stepik\b,high,0
126751,117535,07.11.2025 22:46:14,2025-11,Реактивация,Реактивация,Некачественный лид,да,,0.00000000,0,0,yandex,cpc,brand,,ПБХ,R-101,,R-101,Другое,,,low,0
126753,117537,07.11.2025 22:46:14,2025-11,Реактивация,Реактивация,Некачественный лид,да,,0.00000000,0,0,yandex,cpc,brand,,ПБХ,R-101,,R-101,Другое,,,low,0
126755,117535,07.11.2025 22:49:39,2025-11,Реактивация,Реактивация,Некачественный лид,да,,0.00000000,0,0,yandex,cpc,brand,,ПБХ,R-101,,R-101,Другое,,,low,0
126765,117535,08.11.2025 08:03:20,2025-11,B2C,B2C,Сделка не заключена,да,,0.00000000,0,0,yandex,cpc,brand,,F-401,R-101,,R-101,Другое,,,low,0
126777,117555,08.11.2025 17:16:24,2025-11,B2C,B2C,Сделка заключена,да,08.11.2025,24467.00000000,24467,1,yandex,cpc,brand,,Кожемякина Анастасия Александровна_R-301A_10.11.25,R301-A,,R-301-A,Другое,,,low,0
126779,117555,08.11.2025 17:16:25,2025-11,Холодная воронка,Холодная воронка,Некачественный лид,да,,0.00000000,0,0,yandex,cpc,brand,,Заявка + попытка оплаты сайт Cyber-Ed.ru,R301-A,,R-301-A,Другое,,,low,0
126867,117613,10.11.2025 08:17:26,2025-11,Реактивация,Реактивация,В2С отказ,нет,,0.00000000,0,0,yandex,cpc,brand,,ПБХ,R-101,,R-101,Другое,,,low,0
126895,117639,10.11.2025 12:12:57,2025-11,Реактивация,Реактивация,Некачественный лид,да,,0.00000000,0,0,yandex,cpc,brand,,Blue Team Stepik,B-101,,B-101,Blue Team Stepik,Название сделки,\bblue team stepik\b,high,0
127069,117759,11.11.2025 21:51:06,2025-11,Реактивация,Реактивация,В2С отказ,нет,,0.00000000,0,0,yandex,cpc,brand,,ПБХ,R-101,,R-101,Другое,,,low,0
127221,117869,13.11.2025 11:02:42,2025-11,Реактивация,Реактивация,В2С отказ,нет,,0.00000000,0,0,yandex,cpc,brand,,ПБХ,R-101,,R-101,Другое,,,low,0
127291,117903,14.11.2025 02:52:09,2025-11,Реактивация,Реактивация,В2С отказ,нет,,0.00000000,0,0,yandex,cpc,brand,,ПБХ,R-101,,R-101,Другое,,,low,0
127377,117951,15.11.2025 17:25:45,2025-11,B2C,B2C,Сделка не заключена,да,,0.00000000,0,0,yandex,cpc,brand,,Blue Team Stepik,B-101,,B-101,Blue Team Stepik,Название сделки,\bblue team stepik\b,high,0
127467,118015,17.11.2025 02:15:34,2025-11,Реактивация,Реактивация,В2С отказ,нет,,0.00000000,0,0,yandex,cpc,brand,,ПБХ,R-101,,R-101,Другое,,,low,0
127687,118191,18.11.2025 23:23:27,2025-11,Реактивация,Реактивация,"В проработке, нет ответа",нет,,0.00000000,0,0,yandex,cpc,brand,,ПБХ,R-101,,R-101,Другое,,,low,0
127729,118235,19.11.2025 09:21:23,2025-11,Реактивация,Реактивация,В2С отказ,нет,,0.00000000,0,0,yandex,cpc,brand,,ПБХ,R-101,,R-101,Другое,,,low,0
127731,118235,19.11.2025 09:22:08,2025-11,Реактивация,Реактивация,В2С отказ,нет,,0.00000000,0,0,yandex,cpc,brand,,ПБХ,R-101,,R-101,Другое,,,low,0
127823,118289,20.11.2025 09:56:18,2025-11,Реактивация,Реактивация,В2С отказ,нет,,0.00000000,0,0,yandex,cpc,brand,,Blue Team Stepik,B-101,,B-101,Blue Team Stepik,Название сделки,\bblue team stepik\b,high,0
127829,118293,20.11.2025 11:44:49,2025-11,Реактивация,Реактивация,Некачественный лид,да,,0.00000000,0,0,ya,cpc,brand,,ПБХ,R-101,,R-101,Другое,,,low,0
127833,118293,20.11.2025 11:58:34,2025-11,Реактивация,Реактивация,В2С отказ,нет,,0.00000000,0,0,ya,cpc,brand,,Blue Team Stepik,B-101,,B-101,Blue Team Stepik,Название сделки,\bblue team stepik\b,high,0
127915,118355,21.11.2025 00:51:06,2025-11,Реактивация,Реактивация,Некачественный лид,да,,0.00000000,0,0,yandex,vea_poisk,%7Bcampaign_id%7D,%7Bad_id%7D,ПБХ,R-101,,R-101,Другое,,,low,0
127919,118359,21.11.2025 00:59:45,2025-11,Реактивация,Реактивация,Некачественный лид,да,,0.00000000,0,0,yandex,vea_poisk,%7Bcampaign_id%7D,%7Bad_id%7D,ПБХ,R-101,,R-101,Другое,,,low,0
128017,118427,22.11.2025 14:04:32,2025-11,Реактивация,Реактивация,В2С отказ,нет,,0.00000000,0,0,yandex,cpc,brand,,ПБХ,R-101,,R-101,Другое,,,low,0
128113,116391,24.11.2025 14:37:02,2025-11,Реактивация,Реактивация,Некачественный лид,да,,0.00000000,0,0,yandex,%7Bsource_type%7D,%7Bcampaign_id%7D_%7Bgbid%7D,%7Bad_id%7D,ПБХ,R-101,,R-101,Другое,,,low,0
